name,author,narrator,time,releasedate,language,stars,price
The Human Body,Ladybird,Ben Bailey Smith,43,2020-09-17,English,4.46,410
Minecraft: The Dragon,Nicky Drayden,Nicole Lewis,411,2021-06-07,English,5.0,"1,005"
The Christmasaurus and the Naughty List,"Tom Fletcher, Shane Devries-illustrator","Paul Shelley, Tom Fletcher",375,2021-10-14,English,4.46,615
Das Exil,"Shannon Messenger, Doris Attwood-Übersetzer",David Nathan,945,2021-10-25,German,4.46,468
El Cerdito de Navidad [The Christmas Pig],J.K.Rowling,Cristina Tenorio,438,2021-12-10,Spanish,4.46,799
Big Change for Stuart,Lissa Evans,Lissa Evans,312,2021-01-09,English,4.46,664
The Imagination Box: Beyond Infinity,Martyn Ford,Joshua Mc Guire,301,2021-09-28,English,4.46,569
Camp Daze,R.L.Stine,"James Murray, Kirby Heyborne, Inésdel Castillo,",3,2021-12-10,English,4.46,585
Vaiana,"Disney,Åsa Malm",Lisa Ahnlund,175,2021-10-28,Swedish,4.46,166
Myth of the Rain Forest Monster,Gertrude Chandler Warner,Aimee Lilly,106,2021-01-09,English,4.46,234
Little Badman and the Time-travelling Teacher of Doom,"Humza Arshad, Henry White",Humza Arshad,335,2020-08-21,English,4.46,615
The Great Dream Robbery,"Greg James, Chris Smith","Greg James, Chris Smith",348,2021-09-16,English,4.46,410
Barbie - Superprincesa,"Mattel, Nicolás Olucha Sánchez",Beatriz Olcina,26,2021-10-15,Spanish,4.46,38
Barbie - El campamento de princesas,Mattel,Vanessa Pérez Jurado,33,2022-07-03,Spanish,4.46,38
Barbie - Dreamtopia,Mattel,Vanessa Pérez Jurado,21,2022-07-03,Spanish,4.46,38
Barbie - Superprincesa,Mattel,Vanessa Pérez Jurado,29,2022-07-03,Spanish,4.46,38
Among Us Book - Red Diary,Zeekid Media,Tommy Jay,79,2021-06-16,English,4.46,204
We’re Going to Find the Monster,"Malorie Blackman, Dapo Adeola",Malorie Blackman,6,2021-10-28,English,4.46,410
Ut i det vilda,Erin Hunter,Mattias Linderoth,495,2021-08-26,Swedish,4.46,568
